,start_date,end_date,self_perceived_masculinity,importance_of_being_seen_as_masculine,source_of_masculinity_father_figure,source_of_masculinity_mother_figure,source_of_masculinity_family_members,source_of_masculinity_pop_culture,source_of_masculinity_friends,source_of_masculinity_other,societal_pressure_on_men,lifestyle_ask_friend_professional_advice,lifestyle_ask_friend_personal_advice,lifestyle_show_affection_to_male_friends,lifestyle_crying,lifestyle_physical_fight,lifestyle_sexual_relations_with_women,lifestyle_sexual_relations_with_men,lifestyle_watch_sports,lifestyle_work_out,lifestyle_see_therapist,lifestyle_feel_lonely_or_isolated,daily_worry_height,daily_worry_weight,daily_worry_hair,daily_worry_physique,daily_worry_genitalia,daily_worry_clothing_style,daily_worry_sexual_performance,daily_worry_mental_health,daily_worry_physical_health,daily_worry_finances,daily_worry_provide_for_family,daily_worry_none,employment_status,advantage_of_being_a_man_more_money,advantage_of_being_a_man_taken_more_seriously,advantage_of_being_a_man_more_choice,advantage_of_being_a_man_more_promotion_opportunities,advantage_of_being_a_man_praised_more,advantage_of_being_a_man_more_manager_support,advantage_of_being_a_man_other,advantage_of_being_a_man_none,disadvantage_of_being_a_man_hiring_promoting_women,disadvantage_of_being_a_man_risk_accusation_harassment,disadvantage_of_being_a_man_risk_accusation_bias,disadvantage_of_being_a_man_other,disadvantage_of_being_a_man_none,response_to_harassment_confronted_accused,response_to_harassment_contacted_hr,response_to_harassment_contacted_manager,response_to_harassment_supported_victim,response_to_harassment_did_nothing,response_to_harassment_never_witnessed,response_to_harassment_other,reason_for_no_response,heard_about_metoo,behavior_changed_at_work_due_to_metoo,expected_to_make_first_move,how_often_pay_on_date,reason_for_paying_on_date_right_thing,reason_for_paying_on_date_earn_more,reason_for_paying_on_date_feel_good,reason_for_paying_on_date_societal_expectations,reason_for_paying_on_date_obligation_for_asking_out,reason_for_paying_on_date_test_response,reason_for_paying_on_date_other,gauge_interest_by_body_language,gauge_interest_by_verbal_consent,gauge_interest_by_physical_move,gauge_interest_situation_different,gauge_interest_unclear,gauge_interest_other,boundary_wondered_if_pushed_too_far,boundary_discussed_with_friends,boundary_contacted_past_partner,boundary_none_above,changed_behavior_in_relationships_due_to_metoo,marital_status,has_children_under_18,has_children_over_18,no_children,sexual_orientation,race,education_level,state,income_bracket,us_region,device_and_os_usage,race_classification,race_and_ethnicity_detailed,education_level_grouped,education_level_detailed,age_group,has_kids,sexual_orientation_label,response_weight,daily_worries
1,5/10/18 4:01,5/10/18 4:06,Somewhat masculine,Somewhat important,Not selected,Not selected,Not selected,Pop culture,Not selected,Not selected,Yes,Often,Often,Often,Often,"Never, and not open to it","Never, and not open to it",Often,Sometimes,Sometimes,"Never, and not open to it",Often,Not selected,Not selected,Your hair or hairline,Not selected,Not selected,Not selected,Not selected,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt",Not selected,Not selected,"Not employed, NOT looking for work",,,,,,,,,,,,,,,,,,,,,,,,Yes,Sometimes,,,,,,,,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,No,Never married,Not selected,Not selected,No children,Gay,Hispanic,College graduate,New York,"$0-$9,999",Middle Atlantic,Windows Desktop / Laptop,Non-white,Hispanic,College or more,College or more,35 - 64,No children,Gay/Bisexual,1.714025972,"Your hair or hairlineYour physical healthYour finances, including your current or future income, assets, or debt"
2,5/10/18 6:30,5/10/18 6:53,Somewhat masculine,Somewhat important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Rarely,Sometimes,"Never, but open to it",Rarely,"Never, and not open to it",Rarely,"Never, and not open to it",Often,"Never, and not open to it",Sometimes,No answer,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Your mental health,Your physical health,Not selected,Not selected,Not selected,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,No,Rarely,,,,,,,,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),Not selected,Not selected,Not selected,None of the above,No,Widowed,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Some college,Ohio,"$50,000-$74,999",East North Central,iOS Phone / Tablet,White,White,Some college,Some college,65 and up,Has children,Straight,1.247120116,Your weightYour mental healthYour physical health
3,5/10/18 7:02,5/10/18 7:09,Very masculine,Not too important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Other (please specify),No,Sometimes,Sometimes,Sometimes,Rarely,"Never, but open to it",Often,"Never, and not open to it",Rarely,Sometimes,Rarely,"Never, and not open to it",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Your physical health,Not selected,Not selected,Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Managers want to hire and promote women,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),,A lot,No,Yes,Sometimes,,,,,,,,Not selected,Not selected,Not selected,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,College graduate,Michigan,"$50,000-$74,999",East North Central,Windows Desktop / Laptop,White,White,College or more,College or more,35 - 64,Has children,Straight,0.515746057,Your physical health
4,5/10/18 7:27,5/10/18 7:31,Very masculine,Not too important,Father or father figure(s),Mother or mother figure(s),Other family members,Not selected,Not selected,Not selected,No,Rarely,Rarely,Sometimes,Rarely,Rarely,Often,"Never, and not open to it","Never, and not open to it",Rarely,"Never, and not open to it","Never, and not open to it",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,Yes,Always,It?s the right thing to do,Not selected,Not selected,Not selected,"You asked the person out, so you feel obligated to pay",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,No answer,Married,Not selected,"Yes, one or more children 18 or older",Not selected,No answer,White,Some college,Indiana,"$50,000-$74,999",East North Central,Windows Desktop / Laptop,White,White,Some college,Some college,65 and up,Has children,No answer,0.600640079,None of the above
5,5/10/18 7:35,5/10/18 7:42,Very masculine,Very important,Not selected,Not selected,Other family members,Not selected,Not selected,Not selected,Yes,Sometimes,Rarely,"Never, and not open to it","Never, but open to it","Never, but open to it",Sometimes,"Never, and not open to it",Often,Rarely,"Never, but open to it",Sometimes,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Greater risk of being accused of sexual harassment,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,A lot,Yes,No,Always,Not selected,Not selected,Not selected,"Societal expectations, even though you don?t always think you should have to pay",Not selected,Not selected,Not selected,Not selected,Ask for a verbal confirmation of consent,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Never married,Not selected,Not selected,No children,Straight,White,College graduate,Ohio,"$50,000-$74,999",East North Central,Windows Desktop / Laptop,White,White,College or more,College or more,35 - 64,No children,Straight,1.033400454,Your weight
6,5/10/18 8:25,5/10/18 8:34,Very masculine,Somewhat important,Father or father figure(s),Not selected,Not selected,Not selected,Not selected,Not selected,Yes,"Never, but open to it",Sometimes,Sometimes,Rarely,"Never, but open to it",Often,"Never, and not open to it",Sometimes,Often,"Never, but open to it","Never, and not open to it",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Other (please specify),Not selected,Not selected,Greater risk of being accused of being sexist or racist,Not selected,Not selected,Confronted the accused person,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,,Only a little,No,No,Always,It?s the right thing to do,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Ask for a verbal confirmation of consent,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,"Yes, one or more children 18 or older",Not selected,Straight,White,Post graduate degree,Indiana,"$200,000+",East North Central,Windows Desktop / Laptop,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059086641,None of the above
7,5/10/18 8:29,5/10/18 8:41,Somewhat masculine,Not too important,Father or father figure(s),Mother or mother figure(s),Other family members,Not selected,Friends,Not selected,No,Sometimes,Sometimes,"Never, and not open to it",Rarely,Rarely,Rarely,"Never, and not open to it",Sometimes,Sometimes,"Never, and not open to it",Rarely,Not selected,Your weight,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Reached out to the victim to offer support,Not selected,Not selected,Not selected,,Nothing at all,,Yes,Sometimes,,,,,,,,Read their physical body language to see if they are interested,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Never married,Not selected,"Yes, one or more children 18 or older",Not selected,Gay,Other,Post graduate degree,Hawaii,"$25,000-$49,999",West North Central,Windows Desktop / Laptop,Non-white,Other,College or more,Post graduate degree,18 - 34,Has children,Gay/Bisexual,0.257359715,"Your weightYour finances, including your current or future income, assets, or debtYour ability to provide for your family, current or anticipated"
8,5/10/18 10:04,5/10/18 10:11,Somewhat masculine,Somewhat important,Father or father figure(s),Not selected,Not selected,Pop culture,Friends,Not selected,Yes,Rarely,Rarely,"Never, and not open to it","Never, but open to it","Never, and not open to it",Often,"Never, and not open to it",Sometimes,Sometimes,"Never, but open to it",Rarely,Not selected,Your weight,Not selected,Your physique,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not employed-retired,,,,,,,,,,,,,,,,,,,,,,,,Yes,Often,Not selected,Not selected,Not selected,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",You try to pay to see if the other person will offer to share in the cost,Not selected,Read their physical body language to see if they are interested,Not selected,Not selected,Every situation is different,It isn?t always clear how to gauge someone?s interest,Not selected,Not selected,Not selected,Not selected,None of the above,Yes,Married,Not selected,Not selected,No children,Straight,White,College graduate,New York,"$150,000-$174,999",Middle Atlantic,Windows Desktop / Laptop,White,White,College or more,College or more,65 and up,No children,Straight,0.656490054,Your weightYour physique
9,5/10/18 11:00,5/10/18 11:07,Very masculine,Not at all important,Father or father figure(s),Not selected,Not selected,Not selected,Friends,Not selected,No,Sometimes,Sometimes,Sometimes,Sometimes,"Never, but open to it",Often,"Never, and not open to it",Often,Sometimes,"Never, and not open to it",Rarely,Not selected,Your weight,Your hair or hairline,Not selected,Not selected,Not selected,Sexual performance or amount of sex,Not selected,Your physical health,"Your finances, including your current or future income, assets, or debt","Your ability to provide for your family, current or anticipated",Not selected,"Employed, working full-time",Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,None of the above,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,Some,No,No,Always,It?s the right thing to do,Not selected,You feel good about being the one who pays,Not selected,"You asked the person out, so you feel obligated to pay",Not selected,Not selected,Read their physical body language to see if they are interested,Not selected,Make a physical move to see how they react,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,"Yes, one or more children under 18",Not selected,Not selected,Straight,Hispanic,Some college,California,"$100,000-$124,999",Pacific,iOS Phone / Tablet,Non-white,Hispanic,Some college,Some college,35 - 64,Has children,Straight,4.341850255,"Your weightYour hair or hairlineSexual performance or amount of sexYour physical healthYour finances, including your current or future income, assets, or debtYour ability to provide for your family, current or anticipated"
10,5/11/18 12:36,5/11/18 12:43,Somewhat masculine,Somewhat important,Father or father figure(s),Not selected,Not selected,Pop culture,Not selected,Other (please specify),No,Sometimes,Rarely,"Never, and not open to it",Rarely,"Never, and not open to it",Often,"Never, and not open to it",Often,Rarely,"Never, but open to it",Sometimes,Not selected,Your weight,Not selected,Your physique,Not selected,Your clothing or style,Sexual performance or amount of sex,Not selected,Your physical health,Not selected,Not selected,Not selected,"Employed, working full-time",Not selected,Men are taken more seriously,Not selected,Men have more promotion/professional development opportunities,Not selected,Men generally have more support from their managers,Not selected,Not selected,Not selected,Greater risk of being accused of sexual harassment,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Never witnessed sexual harassment,Not selected,,Some,No,Yes,Always,It?s the right thing to do,Not selected,You feel good about being the one who pays,"Societal expectations, even though you don?t always think you should have to pay","You asked the person out, so you feel obligated to pay",Not selected,Not selected,Not selected,Ask for a verbal confirmation of consent,Make a physical move to see how they react,Every situation is different,Not selected,Not selected,Not selected,Not selected,Not selected,None of the above,No,Married,Not selected,Not selected,No children,Straight,White,Post graduate degree,Oregon,"$150,000-$174,999",Pacific,iOS Phone / Tablet,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.057482292,Your weightYour physiqueYour clothing or styleSexual performance or amount of sexYour physical health
